0.08794690	0.00008082	1540.00000000
0.08787590	0.00007514	1540.00050001
0.08786498	0.00008651	1540.00100003
0.08788683	0.00008651	1540.00150004
0.08791960	0.00009220	1540.00200005
0.08796329	0.00009220	1540.00250006
0.08800698	0.00008651	1540.00300008
0.08803975	0.00008651	1540.00350009
0.08796875	0.00008082	1540.00400010
0.08791414	0.00007514	1540.00450011
0.08786498	0.00009788	1540.00500013
0.08785406	0.00009220	1540.00550014
0.08788683	0.00008651	1540.00600015
0.08796875	0.00009788	1540.00650016
0.08797967	0.00009220	1540.00700018
0.08801244	0.00008082	1540.00750019
0.08803975	0.00009220	1540.00800020
0.08795783	0.00008651	1540.00850021
0.08795237	0.00008651	1540.00900023
0.08791414	0.00008651	1540.00950024
0.08789775	0.00008651	1540.01000025
0.08786498	0.00009220	1540.01050026
0.08793598	0.00009788	1540.01100028
0.08797421	0.00008651	1540.01150029
0.08802336	0.00008651	1540.01200030
0.08805067	0.00008082	1540.01250031
0.08797967	0.00008082	1540.01300033
0.08793598	0.00009220	1540.01350034
0.08789775	0.00009220	1540.01400035
0.08791960	0.00008082	1540.01450036
0.08793052	0.00008082	1540.01500038
0.08794690	0.00008651	1540.01550039
0.08800152	0.00009220	1540.01600040
0.08802336	0.00008082	1540.01650041
0.08802336	0.00009220	1540.01700043
0.08801790	0.00008651	1540.01750044
0.08797967	0.00008651	1540.01800045
0.08793598	0.00009220	1540.01850046
0.08793052	0.00008651	1540.01900048
0.08794144	0.00008082	1540.01950049
0.08798513	0.00008651	1540.02000050
0.08802883	0.00008651	1540.02050051
0.08802336	0.00008651	1540.02100053
0.08805613	0.00007514	1540.02150054
0.08802883	0.00006377	1540.02200055
0.08797967	0.00009220	1540.02250056
0.08796329	0.00009220	1540.02300058
0.08795237	0.00008651	1540.02350059
0.08798513	0.00009220	1540.02400060
0.08801244	0.00008651	1540.02450061
0.08805067	0.00008651	1540.02500063
0.08806706	0.00008651	1540.02550064
0.08808344	0.00008651	1540.02600065
0.08801244	0.00008651	1540.02650066
0.08798513	0.00007514	1540.02700068
0.08797967	0.00008651	1540.02750069
0.08801244	0.00008651	1540.02800070
0.08803429	0.00008082	1540.02850071
0.08808344	0.00008651	1540.02900073
0.08808890	0.00009220	1540.02950074
0.08809982	0.00008082	1540.03000075
0.08805067	0.00008651	1540.03050076
0.08801790	0.00008082	1540.03100078
0.08797967	0.00009220	1540.03150079
0.08801244	0.00008651	1540.03200080
0.08806706	0.00008651	1540.03250081
0.08811621	0.00008651	1540.03300083
0.08813259	0.00008651	1540.03350084
0.08810529	0.00008651	1540.03400085
0.08809982	0.00009220	1540.03450086
0.08805067	0.00008651	1540.03500088
0.08801244	0.00008651	1540.03550089
0.08798513	0.00008082	1540.03600090
0.08804521	0.00008651	1540.03650091
0.08809982	0.00008082	1540.03700093
0.08813259	0.00009220	1540.03750094
0.08812167	0.00008082	1540.03800095
0.08810529	0.00008082	1540.03850096
0.08806159	0.00009220	1540.03900098
0.08808890	0.00008082	1540.03950099
0.08806706	0.00009220	1540.04000100
0.08808344	0.00008651	1540.04050101
0.08812713	0.00009220	1540.04100103
0.08817629	0.00009220	1540.04150104
0.08815990	0.00008651	1540.04200105
0.08814352	0.00008651	1540.04250106
0.08811621	0.00008651	1540.04300108
0.08807798	0.00009220	1540.04350109
0.08806706	0.00008082	1540.04400110
0.08812167	0.00009220	1540.04450111
0.08814898	0.00008651	1540.04500113
0.08818721	0.00008082	1540.04550114
0.08820905	0.00008082	1540.04600115
0.08820905	0.00008651	1540.04650116
0.08817629	0.00009220	1540.04700118
0.08815990	0.00008651	1540.04750119
0.08811621	0.00008651	1540.04800120
0.08815444	0.00009220	1540.04850121
0.08818175	0.00009220	1540.04900123
0.08818721	0.00008651	1540.04950124
0.08819267	0.00008082	1540.05000125
0.08818721	0.00007514	1540.05050126
0.08821452	0.00008082	1540.05100128
0.08818721	0.00008082	1540.05150129
0.08818175	0.00008651	1540.05200130
0.08818175	0.00008651	1540.05250131
0.08819267	0.00009220	1540.05300133
0.08820359	0.00008651	1540.05350134
0.08823090	0.00008651	1540.05400135
0.08824182	0.00008651	1540.05450136
0.08821998	0.00008082	1540.05500138
0.08824182	0.00008082	1540.05550139
0.08823636	0.00008651	1540.05600140
0.08820905	0.00005808	1540.05650141
0.08820359	0.00010925	1540.05700143
0.08823090	0.00009220	1540.05750144
0.08823636	0.00008082	1540.05800145
0.08828551	0.00009220	1540.05850146
0.08829644	0.00008082	1540.05900148
0.08830736	0.00008082	1540.05950149
0.08829644	0.00010357	1540.06000150
0.08826913	0.00008082	1540.06050151
0.08824728	0.00009788	1540.06100153
0.08824728	0.00008082	1540.06150154
0.08824728	0.00009220	1540.06200155
0.08825821	0.00008651	1540.06250156
0.08825275	0.00008651	1540.06300158
0.08831828	0.00009220	1540.06350159
0.08831828	0.00008082	1540.06400160
0.08831828	0.00009220	1540.06450161
0.08830736	0.00009220	1540.06500163
0.08828551	0.00009220	1540.06550164
0.08827459	0.00008651	1540.06600165
0.08830736	0.00007514	1540.06650166
0.08831828	0.00008651	1540.06700168
0.08830190	0.00008082	1540.06750169
0.08833467	0.00008082	1540.06800170
0.08833467	0.00008082	1540.06850171
0.08832375	0.00009220	1540.06900173
0.08830736	0.00008082	1540.06950174
0.08830190	0.00008651	1540.07000175
0.08830736	0.00008651	1540.07050176
0.08833467	0.00008651	1540.07100178
0.08834559	0.00008651	1540.07150179
0.08835651	0.00009220	1540.07200180
0.08836198	0.00006945	1540.07250181
0.08837290	0.00008651	1540.07300183
0.08838382	0.00009220	1540.07350184
0.08837290	0.00009220	1540.07400185
0.08835105	0.00008651	1540.07450186
0.08833467	0.00009220	1540.07500188
0.08835105	0.00008082	1540.07550189
0.08837290	0.00009220	1540.07600190
0.08837836	0.00008651	1540.07650191
0.08840567	0.00009788	1540.07700193
0.08843844	0.00008651	1540.07750194
0.08844390	0.00008651	1540.07800195
0.08844390	0.00008651	1540.07850196
0.08842751	0.00008651	1540.07900198
0.08840021	0.00008651	1540.07950199
0.08838928	0.00009788	1540.08000200
0.08839474	0.00008651	1540.08050201
0.08841113	0.00008651	1540.08100203
0.08846028	0.00009788	1540.08150204
0.08846574	0.00008082	1540.08200205
0.08847667	0.00008082	1540.08250206
0.08848759	0.00008651	1540.08300208
0.08848213	0.00008651	1540.08350209
0.08842205	0.00009220	1540.08400210
0.08841113	0.00008082	1540.08450211
0.08840567	0.00009220	1540.08500213
0.08845482	0.00007514	1540.08550214
0.08848759	0.00009788	1540.08600215
0.08854220	0.00008651	1540.08650216
0.08854767	0.00008651	1540.08700218
0.08852036	0.00008651	1540.08750219
0.08847667	0.00008651	1540.08800220
0.08843844	0.00008082	1540.08850221
0.08844390	0.00008651	1540.08900223
0.08845482	0.00009788	1540.08950224
0.08852036	0.00009220	1540.09000225
0.08857497	0.00009220	1540.09050226
0.08862413	0.00008651	1540.09100228
0.08860228	0.00008651	1540.09150229
0.08854220	0.00008082	1540.09200230
0.08847120	0.00008082	1540.09250231
0.08843297	0.00008651	1540.09300233
0.08842205	0.00008082	1540.09350234
0.08847667	0.00008651	1540.09400235
0.08856405	0.00008651	1540.09450236
0.08863505	0.00008651	1540.09500238
0.08865689	0.00008651	1540.09550239
0.08866236	0.00009220	1540.09600240
0.08857497	0.00008651	1540.09650241
0.08850397	0.00008651	1540.09700243
0.08846028	0.00009220	1540.09750244
0.08847667	0.00009220	1540.09800245
0.08854767	0.00009220	1540.09850246
0.08862959	0.00008651	1540.09900248
0.08870059	0.00008651	1540.09950249
0.08871697	0.00008651	1540.10000250
