Setting	Current1	Current2	Current3	Current4	Current5	Current6	Current7	Current8	15	263	27	275	43	291	75	323	141	389	153	401	169	417	201	449	1	2	4	8	16	32	64	128	256	3	5	9	17	33	65	129	257	6	10	18	34	66	130	258	12	20	36	68	132	260	24	40	72	136	264	48	80	144	272	96	160	288	192	320	384
1	4.7177	7.7857	4.1216	1.7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476418	438170	856952	12124	3766	384535	666064	360949	9496	2582	2069	2	0	107	4	91	1	1977	2	1	104	1	76	2	4	0	333	8	287	1	0	1	0	2	0	0	2	0	0	6	5856	1	7	2	1
2	4.7177	7.7857	4.1216	1.7115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477178	438936	855706	12046	3807	384249	667270	358969	9504	1646	2034	1	0	104	2	66	0	1963	1	0	86	4	79	0	1	0	331	6	297	2	0	0	2	0	0	0	2	0	0	3	5735	0	10	0	2
3	4.7177	7.7857	4.1216	1.7230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475432	437028	856919	11987	3926	383906	662715	361709	9659	907	2107	2	0	94	5	92	0	1947	1	0	86	2	67	2	2	1	353	7	309	0	0	3	2	1	1	1	2	0	0	4	5854	0	5	2	0
4	4.7177	7.7857	4.1216	1.7344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473889	435810	856360	12145	3933	383829	660840	359827	9624	559	2072	1	0	85	1	75	2	1869	2	0	83	6	63	0	6	0	344	5	317	2	0	2	1	0	0	0	1	0	0	4	5731	0	8	0	0
5	4.7177	7.7857	4.1216	1.7457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474990	435619	855570	11999	3838	385194	660237	360706	9604	601	2074	2	0	99	2	76	0	1940	2	1	73	1	71	0	5	2	344	10	307	2	0	0	4	2	0	0	2	0	0	1	5898	0	4	4	1
6	4.7177	7.7857	4.1216	1.7569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476779	435657	856661	12073	3826	385245	662877	360678	9445	998	2059	1	2	97	6	101	1	1972	2	0	92	3	55	0	4	2	361	12	335	1	0	0	2	0	0	1	2	0	0	7	5855	1	10	0	3
7	4.7177	7.7857	4.1216	1.7681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475541	436546	859904	12089	3851	385307	662362	362444	9237	1733	1985	0	1	96	6	104	0	1896	0	0	80	6	68	0	0	1	320	4	307	1	0	1	0	0	0	1	1	0	0	5	5933	0	3	1	2
8	4.7177	7.7857	4.1216	1.7792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479749	439962	859208	11999	3838	385545	665583	360929	9486	2850	2006	1	0	112	4	78	0	2012	0	1	85	2	69	0	1	3	336	5	314	2	0	1	1	2	0	0	1	0	0	6	5983	0	2	1	0
9	4.7177	7.7857	4.1216	1.7902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478774	439205	858545	12016	3807	384595	664752	360485	9462	3811	2023	2	1	95	4	80	0	1971	1	0	81	7	79	1	1	2	351	7	306	0	0	2	3	2	0	0	0	0	0	6	5916	0	8	1	0
10	4.7177	7.7857	4.1216	1.8012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481520	440235	858304	12001	3771	385032	665484	360675	9393	5092	2078	1	0	77	7	79	1	1983	1	1	91	5	72	1	2	2	311	4	301	0	0	2	0	0	0	1	0	3	0	2	5923	1	4	3	1
