Setting	Current1	Current2	Current3	Current4	Current5	Current6	Current7	Current8	15	263	27	275	43	291	75	323	141	389	153	401	169	417	201	449	1	2	4	8	16	32	64	128	256	3	5	9	17	33	65	129	257	6	10	18	34	66	130	258	12	20	36	68	132	260	24	40	72	136	264	48	80	144	272	96	160	288	192	320	384
1	4.5702	7.5039	3.8142	1.7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423753	3569	521731	12067	5056	137791	9647	137829	9197	1	10806	0	0	12	1	26	0	0	0	0	0	0	0	0	3	2	20	6	32	1	0	1	0	0	0	1	0	0	0	0	921	0	0	0	0
2	4.5702	7.5039	3.8142	1.7115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423799	3621	521329	12107	5109	137581	9759	137362	9373	3	10066	1	2	14	1	26	1	2	0	0	0	0	0	0	3	0	19	1	34	0	0	0	0	0	0	0	0	0	0	0	897	2	1	0	0
3	4.5702	7.5039	3.8142	1.7229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423362	3724	519247	12055	5035	137179	9617	137278	9077	0	8338	3	0	13	1	26	1	1	0	0	0	0	0	0	0	0	28	1	43	0	0	2	0	1	0	0	0	1	0	0	899	0	0	0	0
4	4.5702	7.5039	3.8142	1.7342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423759	3735	518870	11966	4990	137653	9583	137022	9272	2	6563	3	0	6	0	17	3	1	0	0	0	0	0	0	0	0	27	2	29	2	0	0	1	0	0	0	0	1	0	1	919	1	2	0	1
5	4.5702	7.5039	3.8142	1.7454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421920	3673	517209	12109	4990	137126	9554	136727	9119	0	4724	0	0	9	0	22	1	2	0	0	0	0	0	0	2	2	21	0	45	3	0	2	0	1	0	0	0	0	0	0	924	0	1	0	2
6	4.5702	7.5039	3.8142	1.7566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419765	3675	514210	12020	5009	137114	9516	136733	9170	1	2920	0	2	13	0	21	1	1	0	0	0	0	0	0	0	0	17	1	36	0	0	0	0	0	0	0	0	1	0	0	908	0	1	0	0
7	4.5702	7.5039	3.8142	1.7677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419924	3536	515984	11956	5054	137801	9554	136893	9274	3	1574	1	1	20	0	27	2	1	0	0	0	0	0	0	0	2	32	1	40	0	0	0	0	0	0	2	0	0	0	0	927	0	0	0	0
8	4.5702	7.5039	3.8142	1.7787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419477	3735	514290	11903	5018	137286	9492	136587	9065	2	719	1	0	18	1	19	1	2	0	0	0	0	0	0	3	0	20	0	31	1	1	0	0	0	1	0	0	0	0	0	943	0	0	0	0
9	4.5702	7.5039	3.8142	1.7897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419923	3728	515677	11836	5125	137734	9526	136939	9136	1	326	1	0	21	0	27	1	4	0	0	0	0	0	0	1	2	22	2	35	2	0	0	0	0	1	0	0	1	0	0	877	0	1	0	0
10	4.5702	7.5039	3.8142	1.8006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420929	3595	518072	12156	5090	136480	9617	137248	9247	3	579	0	1	13	0	29	1	3	0	0	0	0	0	0	2	0	20	4	26	2	0	2	0	0	0	0	0	0	0	1	897	1	1	0	0
11	4.5702	7.5039	3.8142	1.8114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422393	3636	517274	12118	4969	138369	9686	137244	9182	2	1495	0	1	14	1	22	1	2	0	0	0	0	0	0	0	0	23	4	38	0	0	1	0	0	0	0	0	0	0	0	951	0	0	0	0
12	4.5702	7.5039	3.8142	1.8222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424304	3677	519321	12137	5232	139079	9450	139065	9261	2	2940	0	1	19	0	22	1	1	0	0	0	0	1	0	0	0	16	2	42	1	0	0	0	0	0	0	0	0	0	0	924	0	0	0	0
13	4.5702	7.5039	3.8142	1.8329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425098	3688	519832	11922	4911	137866	9508	137969	9149	2	4543	0	0	9	1	19	0	6	0	0	0	0	0	0	0	0	16	0	36	2	0	1	0	2	0	0	0	1	0	1	911	1	0	0	0
14	4.5702	7.5039	3.8142	1.8435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423509	3565	518589	12087	5019	137845	9443	137250	9063	2	6419	0	1	10	2	30	2	2	0	0	0	0	0	0	3	0	23	1	42	2	0	1	0	0	0	0	0	0	0	1	935	0	1	0	0
15	4.5702	7.5039	3.8142	1.8541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424017	3608	518478	12048	4971	137566	9403	137842	9021	4	8133	1	0	20	0	24	1	0	0	0	0	0	0	0	3	0	24	0	20	2	0	0	0	1	0	0	0	0	0	2	898	0	0	0	0
16	4.5702	7.5039	3.8142	1.8646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423913	3618	518780	11941	4938	137543	9347	137476	9080	1	9913	1	0	15	0	19	1	0	0	0	0	0	0	0	1	0	23	1	29	0	0	0	0	0	0	0	0	1	0	0	927	0	1	0	1
17	4.5702	7.5039	3.8142	1.8751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425283	3640	519112	12253	5047	137284	9513	137451	9189	4	10843	0	0	12	1	28	0	3	0	0	0	0	0	0	0	0	26	0	32	0	0	0	1	0	0	0	0	1	0	0	955	1	1	0	0
18	4.5702	7.5039	3.8142	1.8855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424724	3588	518815	12034	5011	137936	9291	136405	9216	0	11587	0	1	8	3	25	0	1	0	0	0	0	0	0	1	0	25	2	24	0	0	0	0	0	0	0	0	0	0	0	895	0	1	0	0
19	4.5702	7.5039	3.8142	1.8958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425855	3630	521279	12027	5029	138525	9376	137901	9207	2	11781	0	0	11	2	18	1	5	0	0	0	0	0	0	0	1	19	0	33	1	0	0	0	0	0	0	0	0	0	0	975	0	0	0	0
20	4.5702	7.5039	3.8142	1.9061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428436	3640	523158	12082	5047	138646	9566	137979	9108	1	11335	0	0	16	0	29	0	0	0	0	0	0	0	0	0	0	24	3	25	2	0	1	0	0	0	0	0	1	0	0	916	0	0	0	1
21	4.5702	7.5039	3.8142	1.9163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427043	3840	522770	12264	5044	138049	9584	137958	9118	0	10377	2	1	14	2	24	0	4	0	0	0	0	0	0	1	2	16	3	30	4	0	0	0	1	0	0	0	0	0	1	928	0	0	0	0
22	4.5702	7.5039	3.8142	1.9265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426349	3649	522320	11911	5054	138880	9507	137500	9192	1	8653	2	3	16	0	19	2	1	0	0	0	0	0	0	2	0	16	3	31	2	0	1	0	0	0	0	0	0	0	0	932	1	0	0	0
23	4.5702	7.5039	3.8142	1.9366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425138	3558	520703	12118	5021	138351	9449	137722	9180	0	6858	1	1	8	1	22	3	3	0	0	0	0	1	0	1	2	28	2	36	0	0	1	0	0	0	0	0	0	0	1	915	0	0	0	0
24	4.5702	7.5039	3.8142	1.9467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423093	3582	519074	11998	4957	138866	9484	138555	9240	2	4913	0	0	12	2	23	0	1	0	0	0	0	0	0	0	0	22	1	38	0	0	0	0	0	0	0	0	0	0	0	1003	1	0	0	1
25	4.5702	7.5039	3.8142	1.9567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421832	3692	516850	12016	5178	138564	9671	137753	9166	5	3207	0	2	14	2	22	1	0	0	0	0	0	0	0	1	0	36	2	39	1	0	1	0	0	0	1	0	1	0	0	920	0	0	0	0
26	4.5682	7.5026	3.8124	1.7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423600	3616	520928	11832	4959	135609	9460	135859	9183	3	10619	2	0	14	1	22	0	3	0	0	0	0	0	0	1	1	19	1	26	1	1	0	0	0	0	0	0	0	0	0	934	0	0	0	0
27	4.5682	7.5026	3.8124	1.7115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423910	3612	519957	12044	5071	135704	9494	135243	9166	1	9104	1	1	18	0	23	1	1	0	0	0	0	0	0	0	0	19	0	41	1	0	1	0	0	0	0	0	0	0	0	969	0	1	0	0
28	4.5682	7.5026	3.8124	1.7229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424155	3735	521059	12140	5062	137458	9557	136651	9043	2	7334	5	1	18	2	19	1	1	0	0	0	0	0	0	0	0	12	2	35	3	0	1	0	1	0	0	0	0	0	1	934	0	0	0	0
29	4.5682	7.5026	3.8124	1.7342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422339	3657	519737	12085	4984	137307	9479	137176	9238	3	5645	0	2	15	0	19	0	1	0	0	0	0	0	0	0	1	26	2	42	0	0	0	0	0	0	0	0	0	0	0	924	0	1	0	2
30	4.5682	7.5026	3.8124	1.7454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419805	3672	517082	12125	5071	137111	9666	136041	9285	2	3778	1	2	14	1	23	0	4	0	0	0	0	0	0	3	0	22	3	49	2	0	0	0	0	0	0	0	0	0	1	847	1	0	0	0
31	4.5682	7.5026	3.8124	1.7566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422741	3563	519388	12036	4965	137735	9618	137100	9027	2	2307	0	0	10	0	16	0	3	0	0	0	0	0	0	0	0	28	1	30	1	0	0	0	0	0	0	0	0	0	1	928	1	1	0	0
32	4.5682	7.5026	3.8124	1.7677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418359	3587	514665	11843	5076	137579	9599	136400	9204	0	1066	3	1	17	2	20	2	3	0	0	0	0	0	0	1	0	26	1	48	4	1	0	0	2	0	0	0	0	0	2	920	0	0	0	0
33	4.5682	7.5026	3.8124	1.7787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419500	3657	513809	11995	5036	136539	9484	136159	8972	2	474	1	0	11	1	27	0	0	0	0	0	0	0	0	0	1	18	1	39	1	0	1	0	0	0	0	0	0	0	1	906	0	1	0	0
34	4.5682	7.5026	3.8124	1.7897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420441	3603	514291	12050	5011	137127	9507	136194	9315	1	397	0	3	7	1	25	0	5	0	0	0	0	0	0	1	1	26	0	34	0	0	0	0	0	0	0	0	0	0	0	972	0	1	0	1
35	4.5682	7.5026	3.8124	1.8006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419306	3637	513317	12012	5081	136447	9379	136611	8975	0	940	0	0	10	0	17	0	2	0	0	0	0	1	0	1	0	20	0	31	2	0	1	0	0	0	0	0	0	0	0	854	0	0	0	1
36	4.5682	7.5026	3.8124	1.8114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419468	3631	513787	11843	4931	136671	9490	135853	9126	1	2048	0	1	18	1	17	2	1	0	0	1	0	0	0	3	0	25	0	40	2	0	1	0	0	0	0	0	1	0	0	922	1	1	0	1
37	4.5682	7.5026	3.8124	1.8222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417123	3555	513025	11990	4962	134920	9317	135449	9059	2	3421	0	2	12	2	26	0	2	0	0	0	0	0	0	3	2	27	2	29	0	0	0	0	0	0	0	0	0	0	0	944	1	0	0	1
38	4.5682	7.5026	3.8124	1.8329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419958	3569	513767	11990	4936	135749	9444	134610	9006	3	5173	1	0	16	2	16	2	2	0	0	0	0	0	0	0	0	11	0	30	2	0	0	0	0	0	0	0	0	0	0	894	1	0	0	0
39	4.5682	7.5026	3.8124	1.8435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417896	3420	513036	11867	5016	135245	9006	135052	9188	4	6997	0	0	11	1	19	2	2	0	0	1	0	0	0	2	0	21	1	28	4	0	2	0	0	0	0	0	0	0	2	890	0	1	0	0
40	4.5682	7.5026	3.8124	1.8541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419497	3591	514573	11869	4888	135519	9355	134018	8988	1	8786	1	0	15	1	26	1	4	0	0	0	0	1	0	2	1	27	1	31	2	0	0	0	1	0	0	0	0	0	1	932	0	0	0	0
41	4.5682	7.5026	3.8124	1.8646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418760	3595	512476	12133	5020	134950	9535	134538	8933	1	10147	3	0	16	2	23	0	2	0	0	0	0	0	0	3	1	16	0	42	1	0	0	0	0	0	1	0	0	0	0	921	1	1	0	1
42	4.5682	7.5026	3.8124	1.8751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421344	3473	516202	11699	5005	136105	9291	135353	9176	1	11083	0	0	10	4	19	2	1	0	0	0	0	0	0	2	2	22	0	39	1	0	1	0	0	0	1	0	0	0	0	899	1	1	0	1
43	4.5682	7.5026	3.8124	1.8855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422728	3541	517227	11924	4881	135693	9253	135768	9146	3	11790	1	0	12	0	20	1	2	0	0	0	0	0	0	1	0	22	0	30	2	0	2	0	0	0	0	0	0	0	1	924	0	0	0	2
44	4.5682	7.5026	3.8124	1.8958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422832	3603	519224	12070	5049	136634	9321	136419	8845	1	11319	1	1	15	0	17	1	4	0	0	0	0	0	0	2	1	23	1	38	0	1	0	0	0	0	0	0	1	0	2	922	0	1	0	2
45	4.5682	7.5026	3.8124	1.9061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421219	3625	516994	11866	4985	136593	9316	135589	9190	5	10447	0	1	12	0	17	1	1	0	0	0	0	0	0	1	0	14	1	40	0	0	0	0	0	0	0	0	0	0	0	924	0	0	0	0
46	4.5682	7.5026	3.8124	1.9163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419836	3619	515432	11930	5000	135839	9222	135778	9121	2	9425	2	0	12	1	19	0	1	0	0	0	0	1	0	0	0	26	1	36	0	0	0	0	0	0	0	0	0	0	0	862	0	0	0	0
47	4.5682	7.5026	3.8124	1.9265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419939	3731	513693	12018	4996	136887	9375	135988	9106	0	7649	1	0	13	1	25	0	2	0	0	0	0	0	0	2	0	16	1	30	0	0	0	0	0	0	0	0	0	0	0	941	0	1	0	0
48	4.5682	7.5026	3.8124	1.9366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420727	3613	515845	11910	5195	137715	9248	137067	9098	0	5882	1	0	11	0	20	0	5	0	0	0	0	0	0	2	0	18	1	33	1	0	0	0	0	0	0	0	0	0	0	956	1	0	0	0
49	4.5682	7.5026	3.8124	1.9467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418387	3664	513022	12031	5031	137562	9314	136672	8997	2	3945	0	1	18	3	33	1	3	0	0	1	0	0	0	0	0	25	0	38	1	0	0	0	0	0	0	1	0	0	0	978	0	1	0	0
50	4.5682	7.5026	3.8124	1.9567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416157	3662	510177	11972	5007	136671	9556	135848	9148	2	2416	0	1	13	1	25	1	6	0	0	0	0	0	0	1	1	23	1	41	0	0	0	0	0	0	0	0	0	0	1	865	0	0	0	0
51	4.5661	7.5014	3.8107	1.7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418537	3583	515985	12062	4954	136179	9539	134962	9231	2	9787	0	0	8	0	18	0	1	0	0	0	0	0	0	3	0	23	1	33	0	0	2	0	1	0	1	0	0	0	1	892	0	1	0	0
52	4.5661	7.5014	3.8107	1.7115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420983	3572	517995	11966	5150	135916	9367	135155	8981	4	8415	2	0	8	0	21	3	1	0	0	0	0	0	0	2	2	17	1	28	2	0	0	0	0	0	0	0	0	0	1	872	0	0	0	1
53	4.5661	7.5014	3.8107	1.7229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419603	3552	515222	11897	5010	134941	9524	135188	9103	3	6616	0	1	16	3	22	0	2	0	0	0	0	0	0	0	1	20	0	36	1	0	1	0	1	0	0	0	1	0	0	895	0	0	0	0
