Setting	Current1	Current2	Current3	Current4	Current5	Current6	Current7	Current8	15	263	27	275	43	291	75	323	141	389	153	401	169	417	201	449	1	2	4	8	16	32	64	128	256	3	5	9	17	33	65	129	257	6	10	18	34	66	130	258	12	20	36	68	132	260	24	40	72	136	264	48	80	144	272	96	160	288	192	320	384
1	1.7865	1.7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722220	735399	699669	11924	3971	420390	760997	392915	556518	5145	233	2	0	150	4	147	9	235	2	1	148	3	157	3	3	1	468	6	457	4	0	0	2	1	3	0	2	0	0	9	7319	7	3	148	10
2	1.7865	1.7115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718700	733084	698959	11965	4131	418758	756850	391131	557460	3154	231	0	1	135	7	145	2	229	0	1	138	6	155	6	3	0	495	9	429	4	0	0	1	1	3	1	0	0	1	9	7313	7	6	177	8
3	1.7865	1.7230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720791	733761	703169	12173	4026	421960	759224	395564	559987	1620	227	5	0	145	7	160	6	244	4	0	159	7	119	7	3	1	495	12	422	4	0	1	0	2	1	0	0	0	0	6	7475	10	17	141	10
4	1.7865	1.7344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720215	731781	703287	12072	4180	421462	756567	395371	558573	622	232	4	0	131	4	155	2	225	1	0	150	6	148	3	1	1	477	6	485	8	0	0	2	0	0	1	0	0	0	4	7280	6	6	141	7
5	1.7865	1.7457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716084	732192	701778	11876	4022	420794	755968	393981	557969	513	229	0	0	147	7	168	7	206	0	1	157	3	142	3	3	0	465	5	431	4	0	0	0	0	2	0	0	0	0	3	7488	4	7	161	12
6	1.7865	1.7569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715374	731256	703568	12230	4027	420774	752986	394854	557576	980	234	1	2	138	9	147	3	233	2	1	136	6	140	4	1	1	469	6	436	5	0	0	1	1	0	0	0	0	0	2	7420	8	6	180	5
7	1.7865	1.7681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717454	734434	701001	12183	4166	419325	754183	392359	559744	2284	225	3	0	151	8	149	6	244	3	0	148	4	162	4	1	1	506	2	449	3	0	0	0	1	3	0	0	1	1	1	7335	8	7	165	11
8	1.7865	1.7792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718909	737992	703353	12189	4111	421145	758007	392922	561223	4082	246	2	1	164	7	158	7	242	2	1	147	3	143	2	2	0	469	8	453	5	0	0	3	2	1	1	1	0	0	5	7470	8	7	171	14
9	1.7865	1.7902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719355	739567	705722	12012	4112	422658	759366	396509	560833	6318	233	2	0	125	3	154	6	233	1	0	156	3	144	7	5	1	486	4	454	9	0	0	2	1	1	0	2	0	0	6	7564	10	4	176	12
10	1.7865	1.8012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723197	744753	708099	12190	4095	424734	761700	398159	561439	8656	237	3	1	153	3	174	7	248	3	0	147	3	143	5	4	1	481	9	462	9	0	3	0	3	1	0	0	0	0	1	7404	7	10	143	8
11	1.7865	1.8121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722075	744472	704735	12197	4054	423760	759958	397085	558451	10637	243	4	0	141	2	178	3	245	2	1	161	6	137	2	2	1	491	9	477	7	0	2	2	1	3	0	2	0	0	7	7407	5	4	167	8
12	1.7865	1.8229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722215	745049	704970	11920	4144	423510	763189	395995	558326	12514	234	1	2	148	5	162	4	232	1	0	154	6	129	4	4	0	499	4	451	4	0	1	1	1	3	0	1	1	0	2	7406	5	7	182	12
13	1.7865	1.8337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723331	749501	708223	12156	4227	423886	763293	397335	562483	13956	221	5	0	135	7	157	6	239	2	0	178	6	147	4	1	0	488	6	478	5	0	2	3	0	0	1	0	0	0	8	7421	6	0	162	10
14	1.7865	1.8444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729238	749704	706329	12097	4082	421638	764733	396475	562468	14538	207	0	1	126	5	158	1	257	4	0	162	5	148	10	2	1	492	7	452	3	0	0	3	2	1	0	1	0	0	5	7532	5	4	176	9
15	1.7865	1.8550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726234	750864	709053	11969	4103	426353	762618	397168	562560	14549	234	1	0	146	3	153	3	243	2	0	156	5	145	4	3	0	514	6	430	13	0	1	2	0	0	1	0	1	1	6	7579	9	8	169	9
16	1.7865	1.8656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727022	749280	707597	11862	4122	423156	761167	396697	563203	13829	230	0	1	149	7	142	3	244	1	1	171	2	149	4	3	0	473	7	497	9	0	2	3	0	2	1	0	1	1	3	7630	5	6	154	12
17	1.7865	1.8761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723804	748222	706533	12060	4048	423114	762280	396855	562216	12216	255	2	0	137	8	147	7	236	2	0	140	4	158	1	3	2	518	4	500	8	0	2	1	1	2	0	1	1	0	7	7467	5	8	148	7
18	1.7865	1.8866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725945	749697	709733	12170	4087	425401	764384	399140	563814	10147	219	2	1	136	6	166	8	248	4	4	149	2	146	6	2	0	472	5	485	6	0	0	1	1	1	0	1	0	0	7	7575	12	4	176	10
19	1.7865	1.8970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724649	747839	709337	12173	4081	424554	763897	397654	563402	7896	240	1	1	151	6	163	6	252	0	0	173	7	170	6	2	1	494	8	483	7	0	4	0	2	1	1	1	0	1	5	7343	3	4	166	11
20	1.7865	1.9074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723157	746312	707659	11929	4092	424578	763845	398032	562015	5603	250	1	0	145	5	173	4	240	2	0	146	5	148	1	3	2	437	9	455	7	0	1	1	2	4	0	3	0	0	5	7491	12	4	164	8
